"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"130","Almost Slipped","Meek Mill",2018-12-15,73,1,0.246,0.49,246793,0.651,0,8,0.233,-6.24,1,0.251,164.213,4,0.46,12,"Winter",6
"131","Alone Together","Fall Out Boy",2013-12-14,96,8,0.001,0.552,203413,0.915,3.74e-05,4,0.206,-3.713,1,0.0559,90.013,4,0.606,12,"Winter",2
"132","Alone With You","Jake Owen",2011-12-24,90,20,0.221,0.646,210973,0.761,0,7,0.109,-3.991,1,0.0267,108.999,4,0.336,12,"Winter",3
"133","Already Callin' You Mine","Parmalee",2015-11-21,100,3,0.05,0.59,184387,0.887,0,1,0.132,-2.634,1,0.0353,120.061,4,0.679,11,"Fall",2
"134","Already Gone","Kelly Clarkson",2009-03-28,89,31,0.226,0.33,281580,0.86,0,9,0.075,-3.572,1,0.0633,76.097,4,0.299,3,"Spring",2
"135","Already Gone","Sugarland",2008-10-11,99,19,0.204,0.313,275867,0.613,1.88e-05,1,0.146,-5.726,1,0.0322,154.775,3,0.373,10,"Fall",6
"136","Alright","Darius Rucker",2009-05-30,91,20,0.053,0.601,231920,0.806,0,7,0.185,-4.579,1,0.0345,89.87,4,0.711,5,"Spring",2
"137","Alright","Kendrick Lamar",2015-04-04,83,14,0.074,0.796,219333,0.766,0,7,0.083,-5.974,1,0.238,110.034,4,0.558,4,"Spring",1
"138","Always","Saliva",2002-12-14,70,20,0.009,0.363,231200,0.916,0,1,0.174,-4.344,1,0.0634,182.131,4,0.38,12,"Winter",0
"139","Always The Love Songs","Eli Young Band",2009-04-04,97,11,0.372,0.471,221800,0.784,4.55e-05,4,0.705,-3.337,1,0.0315,149.91,4,0.387,4,"Spring",0
"140","Alyssa Lies","Jason Michael Carroll",2007-01-13,86,12,0.334,0.496,259573,0.602,0.00356,7,0.147,-5.29,1,0.0265,75.519,4,0.398,1,"Winter",0
"141","Am I Wrong","Nico & Vinz",2014-05-03,91,31,0.162,0.725,247520,0.68,2.13e-06,8,0.158,-5.465,1,0.0306,119.939,4,0.76,5,"Spring",0
"142","Amazing","Josh Kelley",2003-08-09,96,20,0.018,0.548,225600,0.86,0,9,0.372,-5.039,1,0.0352,96.878,4,0.8,8,"Summer",0
"143","Amen","Edens Edge",2011-12-24,99,6,0.345,0.509,228560,0.688,0,5,0.151,-3.892,1,0.0313,179.047,4,0.434,12,"Winter",0
"144","America's Suitehearts","Fall Out Boy",2009-05-16,78,1,0.01,0.484,217306,0.925,0,2,0.14,-3.766,1,0.0461,160.018,4,0.712,5,"Spring",5
"145","American Baby","Dave Matthews Band",2005-05-14,19,11,0.002,0.691,275146,0.824,0.002115,7,0.063,-4.089,1,0.0353,120.748,4,0.844,5,"Spring",1
"146","American Child","Phil Vassar",2002-08-24,78,15,0.292,0.404,192093,0.578,0,2,0.183,-9.142,1,0.0273,167.965,3,0.504,8,"Summer",0
"147","American Country Love Song","Jake Owen",2016-03-26,89,17,0.046,0.529,199747,0.891,0,8,0.094,-4.36,1,0.043,104.031,4,0.329,3,"Spring",3
"148","American Honey","Lady Antebellum",2010-01-09,97,20,0.508,0.588,224867,0.684,0,1,0.141,-5.154,1,0.0288,85.997,4,0.121,1,"Winter",1
"149","American Idiot","Green Day",2004-08-21,77,20,0,0.38,175333,0.986,7.385e-05,1,0.319,-2.231,1,0.0638,186.097,4,0.79,8,"Summer",0
"150","American Kids","Kenny Chesney",2014-07-05,82,20,0.048,0.733,182960,0.589,5.85e-06,7,0.037,-7.37,1,0.1,170.097,4,0.867,7,"Summer",5
"151","American Life","Madonna",2003-04-05,90,8,0.044,0.787,297840,0.583,0,11,0.282,-7.16,0,0.176,101.96,4,0.706,4,"Spring",3
"152","American Saturday Night","Brad Paisley",2009-12-19,100,15,0.072,0.487,274200,0.938,2.63e-05,4,0.522,-5.466,1,0.0533,157.795,4,0.733,12,"Winter",3
"153","American Soldier","Toby Keith",2003-12-27,69,20,0.133,0.452,262400,0.596,1.21e-05,9,0.06,-7.122,1,0.0449,164.143,4,0.213,12,"Winter",7
"154","An Honest Mistake","The Bravery",2005-07-09,97,1,0,0.454,219707,0.882,0.663,2,0.107,-4.254,0,0.0294,140.054,4,0.613,7,"Summer",0
"155","Anaconda","Nicki Minaj",2014-08-23,19,22,0.067,0.964,260240,0.605,7.78e-06,9,0.214,-6.223,1,0.179,129.994,4,0.646,8,"Summer",1
"156","And I","Ciara",2005-10-29,96,1,0.255,0.691,233840,0.389,0,6,0.098,-10.125,1,0.0653,122.219,4,0.437,10,"Fall",0
"157","Angel","Amanda Perez",2003-02-01,64,20,0.494,0.626,218467,0.538,0,4,0.217,-6.865,0,0.0568,143.819,4,0.359,2,"Winter",1
